Graph,Algorithm,TotalCost,ExecutionTimeMs,Operations
small_graphs.json_graph1,Prim,600,0,00,5
small_graphs.json_graph1,Kruskal,600,1,00,0
small_graphs.json_graph2,Prim,930,0,00,8
small_graphs.json_graph2,Kruskal,930,0,00,0
small_graphs.json_graph3,Prim,870,0,00,5
small_graphs.json_graph3,Kruskal,870,0,00,0
small_graphs.json_graph4,Prim,1450,0,00,9
small_graphs.json_graph4,Kruskal,1450,0,00,0
small_graphs.json_graph5,Prim,810,0,00,7
small_graphs.json_graph5,Kruskal,810,0,00,0
medium_graphs.json_graph1,Prim,2460,0,00,18
medium_graphs.json_graph1,Kruskal,2460,0,00,0
medium_graphs.json_graph2,Prim,1990,0,00,13
medium_graphs.json_graph2,Kruskal,2300,0,00,0
medium_graphs.json_graph3,Prim,1820,0,00,13
medium_graphs.json_graph3,Kruskal,2570,0,00,0
medium_graphs.json_graph4,Prim,1930,0,00,15
medium_graphs.json_graph4,Kruskal,2760,0,00,0
medium_graphs.json_graph5,Prim,2720,0,00,19
medium_graphs.json_graph5,Kruskal,3100,0,00,0
medium_graphs.json_graph6,Prim,2370,0,00,19
medium_graphs.json_graph6,Kruskal,3170,0,00,0
medium_graphs.json_graph7,Prim,2490,0,00,21
medium_graphs.json_graph7,Kruskal,3290,0,00,0
medium_graphs.json_graph8,Prim,2590,0,00,23
medium_graphs.json_graph8,Kruskal,3390,0,00,0
medium_graphs.json_graph9,Prim,2810,0,00,25
medium_graphs.json_graph9,Kruskal,3610,0,00,0
medium_graphs.json_graph10,Prim,3150,0,00,29
medium_graphs.json_graph10,Kruskal,3950,0,00,0
large_graphs.json_graph1,Prim,5620,0,00,37
large_graphs.json_graph1,Kruskal,5620,0,00,0
large_graphs.json_graph2,Prim,5555,0,00,37
large_graphs.json_graph2,Kruskal,5555,0,00,0
large_graphs.json_graph3,Prim,5525,0,00,37
large_graphs.json_graph3,Kruskal,5525,0,00,0
large_graphs.json_graph4,Prim,5540,0,00,30
large_graphs.json_graph4,Kruskal,6710,0,00,0
large_graphs.json_graph5,Prim,3230,0,00,18
large_graphs.json_graph5,Kruskal,5055,0,00,0
large_graphs.json_graph6,Prim,4075,0,00,32
large_graphs.json_graph6,Kruskal,5025,0,00,0
large_graphs.json_graph7,Prim,4585,1,00,32
large_graphs.json_graph7,Kruskal,5535,0,00,0
large_graphs.json_graph8,Prim,1020,0,00,6
large_graphs.json_graph8,Kruskal,4210,0,00,0
large_graphs.json_graph9,Prim,7400,0,00,37
large_graphs.json_graph9,Kruskal,7400,0,00,0
large_graphs.json_graph10,Prim,8750,0,00,37
large_graphs.json_graph10,Kruskal,8750,0,00,0
large_graphs.json_graph11,Prim,7650,0,00,37
large_graphs.json_graph11,Kruskal,7650,0,00,0
large_graphs.json_graph12,Prim,7540,0,00,36
large_graphs.json_graph12,Kruskal,7540,0,00,0
large_graphs.json_graph13,Prim,4855,0,00,33
large_graphs.json_graph13,Kruskal,5635,0,00,0
large_graphs.json_graph14,Prim,3540,0,00,19
large_graphs.json_graph14,Kruskal,5885,0,00,0
large_graphs.json_graph15,Prim,3615,0,00,25
large_graphs.json_graph15,Kruskal,4740,0,00,0
large_graphs.json_graph16,Prim,7105,0,00,37
large_graphs.json_graph16,Kruskal,7105,0,00,0
large_graphs.json_graph17,Prim,3285,0,00,21
large_graphs.json_graph17,Kruskal,5615,0,00,0
large_graphs.json_graph18,Prim,6885,0,00,33
large_graphs.json_graph18,Kruskal,6990,0,00,0
large_graphs.json_graph19,Prim,6385,0,00,36
large_graphs.json_graph19,Kruskal,6385,0,00,0
large_graphs.json_graph20,Prim,7290,0,00,37
large_graphs.json_graph20,Kruskal,7290,0,00,0
